CBNO,ILCE_CBNO,ADI,ALAN,CEVRE,NUFUS,POSTAKODU
158.00000,4.00000,MİMARSİNAN,30558578.00000,28330.00000,4222.00000,"38165"
154.00000,4.00000,BAHÇELİEVLER,5295423.00000,11859.00000,23012.00000,"38165"
36.00000,3.00000,CIRGALAN,15735482.00000,20094.00000,3679.00000,"38030"
249.00000,3.00000,YAKUT,1800368.00000,5519.00000,15879.00000,"38040"
251.00000,3.00000,DORUKLU,18726682.00000,27183.00000,236.00000,"38095"
254.00000,3.00000,EYİM,22724057.00000,28481.00000,270.00000,"38095"
275.00000,3.00000,HİMMETDEDE,46402996.00000,59336.00000,234.00000,"38090"
258.00000,3.00000,OBRUK,19921862.00000,23153.00000,197.00000,"38095"
259.00000,3.00000,HÖBEK,27274379.00000,32984.00000,146.00000,"38095"
279.00000,3.00000,YUKARIHASİNLİ,25276914.00000,38593.00000,144.00000,"38090"
281.00000,4.00000,SARIMSAKLI,8702048.00000,19347.00000,291.00000,"38195"
282.00000,14.00000,KURUHÜYÜK,33023587.00000,37936.00000,255.00000,"38750"
283.00000,14.00000,DARILI,19177328.00000,31134.00000,124.00000,"38750"
289.00000,2.00000,ÜÇKUYU,37168432.00000,35293.00000,407.00000,"38560"
287.00000,14.00000,KEPİÇ,19022530.00000,28709.00000,202.00000,"38750"
221.00000,3.00000,YEŞİL,7730959.00000,15558.00000,4819.00000,"38040"
63.00000,3.00000,TAŞHAN,22085690.00000,40697.00000,323.00000,"38055"
294.00000,14.00000,BEYLER,7626455.00000,13809.00000,228.00000,"38750"
295.00000,14.00000,YENİ,18772577.00000,19736.00000,323.00000,"38750"
343.00000,16.00000,AVLAĞA,11426890.00000,14864.00000,331.00000,"38500"
297.00000,14.00000,ACIRLI,31288825.00000,31484.00000,180.00000,"38750"
298.00000,14.00000,MENTEŞE,30401173.00000,34987.00000,63.00000,"38750"
303.00000,2.00000,KARAHÜYÜK,23567010.00000,22954.00000,166.00000,"38560"
302.00000,2.00000,HAMURCU,35900681.00000,36681.00000,793.00000,"38560"
305.00000,2.00000,KÜLLÜ,20567439.00000,22573.00000,423.00000,"38560"
277.00000,3.00000,ELMALI,27628165.00000,35995.00000,182.00000,"38090"
307.00000,7.00000,KAVAKLI,18994296.00000,20836.00000,175.00000,"38770"
308.00000,7.00000,TAŞLIK,30999419.00000,31742.00000,141.00000,"38770"
309.00000,7.00000,KÜPELİ,61234979.00000,40674.00000,555.00000,"38770"
311.00000,7.00000,YENİ,3360954.00000,9059.00000,310.00000,"38770"
313.00000,7.00000,KERMELİK,29893574.00000,30535.00000,350.00000,"38770"
314.00000,7.00000,CUMHURİYET,5290770.00000,11569.00000,405.00000,"38770"
317.00000,7.00000,AŞAĞI BOĞAZİÇİ,13342813.00000,18114.00000,411.00000,"38770"
318.00000,8.00000,KIZILPINAR,10239998.00000,20348.00000,70.00000,"38820"
319.00000,8.00000,KARPINAR,16745101.00000,24575.00000,89.00000,"38820"
320.00000,8.00000,KALEKÖY,12362147.00000,24008.00000,103.00000,"38820"
321.00000,8.00000,İĞDELİ,11195850.00000,24176.00000,90.00000,"38820"
322.00000,7.00000,KALE,188345.00000,2072.00000,363.00000,"38770"
830.00000,9.00000,MANAVUZ,14310590.00000,19848.00000,171.00000,
776.00000,15.00000,AŞIK SEYRANİ,57578188.00000,38549.00000,4634.00000,"38400"
326.00000,8.00000,YERLİKUYU,12206964.00000,25732.00000,120.00000,"38820"
327.00000,8.00000,KADILI,5723230.00000,12646.00000,85.00000,"38820"
328.00000,8.00000,EBÜLHAYIR,12905477.00000,19466.00000,326.00000,"38820"
329.00000,16.00000,DEREBAĞ,69628532.00000,45153.00000,953.00000,"38500"
330.00000,16.00000,KİRAZLI,32225213.00000,33303.00000,726.00000,"38500"
