id,level,parent_id,region_id,region_name,name,name_ascii,slug,plate_code,district_local_code,iso_3166_2,nuts_code,tuik_id,icisleri_id,osm_relation_id,municipality_type,municipality_type_label,is_metropolitan_municipality,centroid_lat,centroid_lon,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat,aliases,member_ids,x,y,coordinate_system
TR-P-69,province,TR-R-KAR,TR-R-KAR,Karadeniz,Bayburt,bayburt,bayburt,69,,TR-69,TRA13,69,,,il_belediyesi,İl Belediyesi,false,40.24768791,40.21956663,39.65152550200003,39.922991629000194,40.712643686000035,40.57384353900005,[],[],40.21956663,40.24768791,EPSG:4326
TR-P-70,province,TR-R-ICA,TR-R-ICA,İç Anadolu,Karaman,karaman,karaman,70,,TR-70,TR522,70,,,il_belediyesi,İl Belediyesi,false,37.02499726,33.20882169,32.40666647600017,36.435978217000184,34.29189081100003,37.61305620400003,[],[],33.20882169,37.02499726,EPSG:4326
TR-P-71,province,TR-R-ICA,TR-R-ICA,İç Anadolu,Kırıkkale,kirikkale,kirikkale,71,,TR-71,TR711,71,,,il_belediyesi,İl Belediyesi,false,39.86343639,33.69151491,33.232975232000115,39.395836691000056,34.24476229700008,40.332835605000184,[],[],33.69151491,39.86343639,EPSG:4326
TR-P-72,province,TR-R-GDA,TR-R-GDA,Güneydoğu Anadolu,Batman,batman,batman,72,,TR-72,TRC32,72,,,il_belediyesi,İl Belediyesi,false,38.0282075,41.31693229,40.98653742000005,37.5012462680001,41.72452668000017,38.555169544000194,[],[],41.31693229,38.0282075,EPSG:4326
TR-P-73,province,TR-R-GDA,TR-R-GDA,Güneydoğu Anadolu,Şırnak,sirnak,sirnak,73,,TR-73,TRC33,73,,,il_belediyesi,İl Belediyesi,false,37.44552074,42.57953772,41.55508184400014,37.10667160000014,43.49455046500009,37.7843169950001,[],[],42.57953772,37.44552074,EPSG:4326
TR-P-74,province,TR-R-KAR,TR-R-KAR,Karadeniz,Bartın,bartin,bartin,74,,TR-74,TR813,74,,,il_belediyesi,İl Belediyesi,false,41.58283096,32.47488186,32.088992352000105,41.31643719100015,32.9345153110001,41.84934040000013,[],[],32.47488186,41.58283096,EPSG:4326
TR-P-75,province,TR-R-DOA,TR-R-DOA,Doğu Anadolu,Ardahan,ardahan,ardahan,75,,TR-75,TRA24,75,,,il_belediyesi,İl Belediyesi,false,41.1209665,42.93878151,42.340493270000024,40.639259009,43.48909,41.60092489900006,[],[],42.93878151,41.1209665,EPSG:4326
TR-P-76,province,TR-R-DOA,TR-R-DOA,Doğu Anadolu,Iğdır,igdir,igdir,76,,TR-76,TRA23,76,,,il_belediyesi,İl Belediyesi,false,39.8829698,43.97814527,43.2812892660001,39.62774140000016,44.81774850000005,40.1383709160001,[],[],43.97814527,39.8829698,EPSG:4326
TR-P-77,province,TR-R-MAR,TR-R-MAR,Marmara,Yalova,yalova,yalova,77,,TR-77,TR425,77,,,il_belediyesi,İl Belediyesi,false,40.6028134,29.21556596,28.779533500000184,40.455121799000096,29.563661100000047,40.7502268990001,[],[],29.21556596,40.6028134,EPSG:4326
TR-P-78,province,TR-R-KAR,TR-R-KAR,Karadeniz,Karabük,karabuk,karabuk,78,,TR-78,TR812,78,,,il_belediyesi,İl Belediyesi,false,41.1904546,32.53911977,32.10216882400016,40.79737408400007,33.15822656200015,41.58301102800016,[],[],32.53911977,41.1904546,EPSG:4326
TR-P-79,province,TR-R-GDA,TR-R-GDA,Güneydoğu Anadolu,Kilis,kilis,kilis,79,,TR-79,TRC13,79,,,il_belediyesi,İl Belediyesi,false,36.82655381,37.01485979,36.71361288500009,36.63207709900007,37.56707226500015,37.02089203700007,[],[],37.01485979,36.82655381,EPSG:4326
TR-P-80,province,TR-R-AKD,TR-R-AKD,Akdeniz,Osmaniye,osmaniye,osmaniye,80,,TR-80,TR633,80,,,il_belediyesi,İl Belediyesi,false,37.30829087,36.26505952,35.879526796000164,36.90665892500016,36.70541747500005,37.709226376000174,[],[],36.26505952,37.30829087,EPSG:4326
TR-P-81,province,TR-R-KAR,TR-R-KAR,Karadeniz,Düzce,duzce,duzce,81,,TR-81,TR423,81,,,il_belediyesi,İl Belediyesi,false,40.86856021,31.19659527,30.81189194300009,40.62102369800016,31.76927973100004,41.11487111800011,[],[],31.19659527,40.86856021,EPSG:4326
