id,level,parent_id,region_id,region_name,name,name_ascii,slug,plate_code,district_local_code,iso_3166_2,lau_code,tuik_id,icisleri_id,osm_relation_id,parent_name,centroid_lat,centroid_lon,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat,aliases,member_ids,x,y,coordinate_system
TR-D-04-002,district,TR-P-04,TR-R-DOA,Doğu Anadolu,Diyadin,diyadin,diyadin-agri,04,002,,,,,,Ağrı,39.44093726,43.60807444,43.36877992700005,39.19165793600018,43.816299945000026,39.689865929000064,[],[],43.60807444,39.44093726,EPSG:4326
TR-D-04-003,district,TR-P-04,TR-R-DOA,Doğu Anadolu,Doğubayazıt,dogubayazit,dogubayazit-agri,04,003,,,,,,Ağrı,39.59114867,44.11760016,43.55447195300019,39.35005703700011,44.48476663500003,39.83141714300018,[],[],44.11760016,39.59114867,EPSG:4326
TR-D-04-004,district,TR-P-04,TR-R-DOA,Doğu Anadolu,Eleşkirt,eleskirt,eleskirt-agri,04,004,,,,,,Ağrı,39.81348239,42.6013535,42.28493469500006,39.655655728,42.933272179000085,39.971818992000124,[],[],42.6013535,39.81348239,EPSG:4326
TR-D-04-005,district,TR-P-04,TR-R-DOA,Doğu Anadolu,Hamur,hamur,hamur-agri,04,005,,,,,,Ağrı,39.47522167,43.07287279,42.86280986600008,39.292342015000145,43.282606011999974,39.656359587000054,[],[],43.07287279,39.47522167,EPSG:4326
TR-D-04-006,district,TR-P-04,TR-R-DOA,Doğu Anadolu,Patnos,patnos,patnos-agri,04,006,,,,,,Ağrı,39.18199528,42.91902611,42.62533766200016,38.9417897460001,43.16832741400009,39.42280060600007,[],[],42.91902611,39.18199528,EPSG:4326
TR-D-04-007,district,TR-P-04,TR-R-DOA,Doğu Anadolu,Taşlıçay,taslicay,taslicay-agri,04,007,,,,,,Ağrı,39.61252302,43.40819619,43.22450426600017,39.37725733100007,43.61042991599999,39.84493364500014,[],[],43.40819619,39.61252302,EPSG:4326
TR-D-04-008,district,TR-P-04,TR-R-DOA,Doğu Anadolu,Tutak,tutak,tutak-agri,04,008,,,,,,Ağrı,39.50106571,42.69625582,42.42340102600008,39.302885650000064,42.97073169300006,39.70067786900006,[],[],42.69625582,39.50106571,EPSG:4326
TR-D-05-001,district,TR-P-05,TR-R-KAR,Karadeniz,Amasya,amasya,amasya-amasya,05,001,,,,,,Amasya,40.65043485,35.79755564,35.39799876400008,40.435619256000166,36.2866935240001,40.86661753700014,[],[],35.79755564,40.65043485,EPSG:4326
TR-D-05-002,district,TR-P-05,TR-R-KAR,Karadeniz,Göynücek,goynucek,goynucek-amasya,05,002,,,,,,Amasya,40.37768711,35.54591729,35.36068881600016,40.233825166000145,35.72974589000012,40.523462203000065,[],[],35.54591729,40.37768711,EPSG:4326
TR-D-05-003,district,TR-P-05,TR-R-KAR,Karadeniz,Gümüşhacıköy,gumushacikoy,gumushacikoy-amasya,05,003,,,,,,Amasya,40.8852214,35.204997,35.027968043000044,40.68870876300019,35.34519016600012,41.082004583000014,[],[],35.204997,40.8852214,EPSG:4326
TR-D-05-004,district,TR-P-05,TR-R-KAR,Karadeniz,Hamamözü,hamamozu,hamamozu-amasya,05,004,,,,,,Amasya,40.79332838,35.07425988,34.99251262800004,40.68870876300019,35.16212060400005,40.89916680300013,[],[],35.07425988,40.79332838,EPSG:4326
TR-D-05-005,district,TR-P-05,TR-R-KAR,Karadeniz,Merzifon,merzifon,merzifon-amasya,05,005,,,,,,Amasya,40.83746427,35.46584329,35.22497979900015,40.633177569000054,35.63431749900019,41.04065313000012,[],[],35.46584329,40.83746427,EPSG:4326
TR-D-05-006,district,TR-P-05,TR-R-KAR,Karadeniz,Suluova,suluova,suluova-amasya,05,006,,,,,,Amasya,40.78369853,35.70149891,35.546675151000045,40.66672422400012,35.9252351830001,40.90211460000006,[],[],35.70149891,40.78369853,EPSG:4326
TR-D-05-007,district,TR-P-05,TR-R-KAR,Karadeniz,Taşova,tasova,tasova-amasya,05,007,,,,,,Amasya,40.78879202,36.28304099,36.06039668800008,40.58752404400019,36.50924922900015,40.99060110300013,[],[],36.28304099,40.78879202,EPSG:4326
TR-D-06-001,district,TR-P-06,TR-R-ICA,İç Anadolu,Akyurt,akyurt,akyurt-ankara,06,001,,,,,,Ankara,40.12052044,33.14969444,32.957215323000185,40.03254514200006,33.303091477000066,40.21526377900011,[],[],33.14969444,40.12052044,EPSG:4326
TR-D-06-002,district,TR-P-06,TR-R-ICA,İç Anadolu,Altındağ,altindag,altindag-ankara,06,002,,,,,,Ankara,39.98822068,32.97862096,32.83074800500003,39.928834467000115,33.14347684500018,40.04708971700006,[],[],32.97862096,39.98822068,EPSG:4326
TR-D-06-003,district,TR-P-06,TR-R-ICA,İç Anadolu,Ayaş,ayas,ayas-ankara,06,003,,,,,,Ankara,40.04023952,32.25125383,31.9178779180001,39.84426513700009,32.541228630000035,40.23678169100009,[],[],32.25125383,40.04023952,EPSG:4326
TR-D-06-004,district,TR-P-06,TR-R-ICA,İç Anadolu,Bala,bala,bala-ankara,06,004,,,,,,Ankara,39.46388971,33.14928677,32.846905956000114,39.198221427000135,33.541100767000046,39.72945434100018,[],[],33.14928677,39.46388971,EPSG:4326
TR-D-06-005,district,TR-P-06,TR-R-ICA,İç Anadolu,Beypazarı,beypazari,beypazari-ankara,06,005,,,,,,Ankara,40.14928272,31.92164743,31.66116009500007,39.849626716000046,32.15242654400009,40.45001299500012,[],[],31.92164743,40.14928272,EPSG:4326
TR-D-06-006,district,TR-P-06,TR-R-ICA,İç Anadolu,Çamlıdere,camlidere,camlidere-ankara,06,006,,,,,,Ankara,40.49891948,32.35805996,32.11355452200007,40.35177601300006,32.57729532700006,40.645100718000094,[],[],32.35805996,40.49891948,EPSG:4326
TR-D-06-007,district,TR-P-06,TR-R-ICA,İç Anadolu,Çankaya,cankaya,cankaya-ankara,06,007,,,,,,Ankara,39.80878647,32.93953629,32.625974654000174,39.67786452500019,33.13488156000017,39.93786258300014,[],[],32.93953629,39.80878647,EPSG:4326
TR-D-06-008,district,TR-P-06,TR-R-ICA,İç Anadolu,Çubuk,cubuk,cubuk-ankara,06,008,,,,,,Ankara,40.31581823,33.05220992,32.80013468000004,40.095820498000194,33.26413295800012,40.53974803500006,[],[],33.05220992,40.31581823,EPSG:4326
TR-D-06-009,district,TR-P-06,TR-R-ICA,İç Anadolu,Elmadağ,elmadag,elmadag-ankara,06,009,,,,,,Ankara,39.87650583,33.20955041,33.02946294800006,39.69568306800005,33.39569150300008,40.05689031700007,[],[],33.20955041,39.87650583,EPSG:4326
TR-D-06-010,district,TR-P-06,TR-R-ICA,İç Anadolu,Etimesgut,etimesgut,etimesgut-ankara,06,010,,,,,,Ankara,39.860615,32.59417039,32.51166167200006,39.71460788000002,32.79925358700007,40.005501736000156,[],[],32.59417039,39.860615,EPSG:4326
TR-D-06-011,district,TR-P-06,TR-R-ICA,İç Anadolu,Evren,evren,evren-ankara,06,011,,,,,,Ankara,39.04143403,33.77325979,33.64312755800006,38.93272883300011,33.895137723000175,39.14852210300006,[],[],33.77325979,39.04143403,EPSG:4326
TR-D-06-012,district,TR-P-06,TR-R-ICA,İç Anadolu,Gölbaşı,golbasi,golbasi-ankara,06,012,,,,,,Ankara,39.54305873,32.74735837,32.498906558000044,39.24613679900017,33.01744155300008,39.837992618000044,[],[],32.74735837,39.54305873,EPSG:4326
TR-D-06-013,district,TR-P-06,TR-R-ICA,İç Anadolu,Güdül,gudul,gudul-ankara,06,013,,,,,,Ankara,40.22380726,32.24006022,32.11419965600015,40.05569366900016,32.38403656900016,40.39296748000004,[],[],32.24006022,40.22380726,EPSG:4326
TR-D-06-014,district,TR-P-06,TR-R-ICA,İç Anadolu,Haymana,haymana,haymana-ankara,06,014,,,,,,Ankara,39.29874721,32.56388416,32.27335688700009,38.972577405000095,32.85493312000011,39.62373173000003,[],[],32.56388416,39.29874721,EPSG:4326
TR-D-06-015,district,TR-P-06,TR-R-ICA,İç Anadolu,Kahramankazan,kahramankazan,kahramankazan-ankara,06,015,,,,,,Ankara,40.17403554,32.66005879,32.49755949000013,40.02743370400009,32.86352424700016,40.322098080000046,[],[],32.66005879,40.17403554,EPSG:4326
TR-D-06-016,district,TR-P-06,TR-R-ICA,İç Anadolu,Kalecik,kalecik,kalecik-ankara,06,016,,,,,,Ankara,40.18437316,33.45045802,33.226264696000044,39.97303597700005,33.660065054000086,40.39853988600015,[],[],33.45045802,40.18437316,EPSG:4326
TR-D-06-017,district,TR-P-06,TR-R-ICA,İç Anadolu,Keçiören,kecioren,kecioren-ankara,06,017,,,,,,Ankara,40.0783501,32.83292907,32.726273028000094,39.95780206500007,32.900398101000064,40.19797393200014,[],[],32.83292907,40.0783501,EPSG:4326
TR-D-06-018,district,TR-P-06,TR-R-ICA,İç Anadolu,Kızılcahamam,kizilcahamam,kizilcahamam-ankara,06,018,,,,,,Ankara,40.47981807,32.72458321,32.273972563000086,40.205743153000185,32.905827107000164,40.75233570600005,[],[],32.72458321,40.47981807,EPSG:4326
TR-D-06-019,district,TR-P-06,TR-R-ICA,İç Anadolu,Mamak,mamak,mamak-ankara,06,019,,,,,,Ankara,39.90916057,33.02168496,32.87610097600009,39.80626237900003,33.16361513000015,40.01081996800019,[],[],33.02168496,39.90916057,EPSG:4326
TR-D-06-020,district,TR-P-06,TR-R-ICA,İç Anadolu,Nallıhan,nallihan,nallihan-ankara,06,020,,,,,,Ankara,40.1893601,31.30046922,30.817284719000043,40.007742355000175,31.739194203000125,40.37172715000014,[],[],31.30046922,40.1893601,EPSG:4326
TR-D-06-021,district,TR-P-06,TR-R-ICA,İç Anadolu,Polatlı,polatli,polatli-ankara,06,021,,,,,,Ankara,39.42941461,32.17200363,31.79584840200016,38.95153969900008,32.44882753600018,39.90474427600003,[],[],32.17200363,39.42941461,EPSG:4326
TR-D-06-022,district,TR-P-06,TR-R-ICA,İç Anadolu,Pursaklar,pursaklar,pursaklar-ankara,06,022,,,,,,Ankara,40.1127297,32.87109204,32.81530990800013,40.01729176099997,33.01110659400007,40.20926212000012,[],[],32.87109204,40.1127297,EPSG:4326
TR-D-06-023,district,TR-P-06,TR-R-ICA,İç Anadolu,Sincan,sincan,sincan-ankara,06,023,,,,,,Ankara,39.87912347,32.46834637,32.24005898900015,39.60940737400006,32.60575839800009,40.151856100000145,[],[],32.46834637,39.87912347,EPSG:4326
TR-D-06-024,district,TR-P-06,TR-R-ICA,İç Anadolu,Şereflikoçhisar,sereflikochisar,sereflikochisar-ankara,06,024,,,,,,Ankara,38.96284353,33.53384821,33.12813647700011,38.648238538000044,33.80191086899998,39.27603900500003,[],[],33.53384821,38.96284353,EPSG:4326
TR-D-06-025,district,TR-P-06,TR-R-ICA,İç Anadolu,Yenimahalle,yenimahalle,yenimahalle-ankara,06,025,,,,,,Ankara,40.00813968,32.68220433,32.56320071200008,39.91068424600019,32.8469378580001,40.105905619,[],[],32.68220433,40.00813968,EPSG:4326
TR-D-07-001,district,TR-P-07,TR-R-AKD,Akdeniz,Akseki,akseki,akseki-antalya,07,001,,,,,,Antalya,37.07720756,31.81942259,31.545648101000097,36.77961834000013,32.01268968800014,37.374636716000055,[],[],31.81942259,37.07720756,EPSG:4326
TR-D-07-002,district,TR-P-07,TR-R-AKD,Akdeniz,Aksu,aksu,aksu-antalya,07,002,,,,,,Antalya,37.04766123,30.84780807,30.717663330999983,36.85237737600016,30.97692122100017,37.24345794599998,[],[],30.84780807,37.04766123,EPSG:4326
TR-D-07-003,district,TR-P-07,TR-R-AKD,Akdeniz,Alanya,alanya,alanya-antalya,07,003,,,,,,Antalya,36.5467541,32.21272688,31.64851580000004,36.30996829400016,32.452268002000096,36.783549482000126,[],[],32.21272688,36.5467541,EPSG:4326
TR-D-07-004,district,TR-P-07,TR-R-AKD,Akdeniz,Demre,demre,demre-antalya,07,004,,,,,,Antalya,36.28088491,29.94517387,29.79303970000018,36.16555460200016,30.072872232000066,36.396719472000086,[],[],29.94517387,36.28088491,EPSG:4326
TR-D-07-005,district,TR-P-07,TR-R-AKD,Akdeniz,Döşemealtı,dosemealti,dosemealti-antalya,07,005,,,,,,Antalya,37.08551517,30.56022158,30.41472062000014,36.91285412500008,30.757055998,37.26224854800006,[],[],30.56022158,37.08551517,EPSG:4326
TR-D-07-006,district,TR-P-07,TR-R-AKD,Akdeniz,Elmalı,elmali,elmali-antalya,07,006,,,,,,Antalya,36.71481702,29.96030566,29.674684888000172,36.49848891600004,30.262685706000184,36.93203306200007,[],[],29.96030566,36.71481702,EPSG:4326
TR-D-07-007,district,TR-P-07,TR-R-AKD,Akdeniz,Finike,finike,finike-antalya,07,007,,,,,,Antalya,36.41252484,30.05462982,29.821781538000096,36.2466275000001,30.25264886100007,36.57825103900018,[],[],30.05462982,36.41252484,EPSG:4326
